herdId;nSheep;farmSize;import
192;5;small;no_import
193;12;small;no_import
194;19;small;no_import
195;4;small;no_import
196;4;small;import
197;4;small;no_import
198;20;small;no_import
199;6;small;no_import
200;17;small;no_import
201;2;small;no_import
202;2;small;no_import
203;10;small;no_import
204;37;large;no_import
205;2;small;no_import
206;6;small;no_import
207;2;small;no_import
208;39;large;no_import
209;3;small;import
210;10;small;no_import
211;5;small;no_import
212;5;small;no_import
213;119;large;no_import
214;40;large;no_import
215;10;small;no_import
216;30;small;no_import
217;7;small;no_import
218;18;small;no_import
219;19;small;no_import
220;64;large;no_import
221;12;small;no_import
222;16;small;no_import
223;6;small;no_import
224;205;large;no_import
225;7;small;no_import
226;17;small;no_import
227;3;small;import
228;4;small;no_import
229;13;small;no_import
230;16;small;no_import
231;4;small;no_import
232;12;small;no_import
233;12;small;import
234;23;small;no_import
235;4;small;import
236;58;large;no_import
237;12;small;no_import
238;13;small;no_import
239;25;small;no_import
240;14;small;no_import
241;11;small;no_import
242;22;small;no_import
243;4;small;no_import
244;9;small;no_import
245;55;large;no_import
246;4;small;no_import
247;3;small;no_import
248;5;small;no_import
249;15;small;no_import
250;3;small;no_import
251;5;small;no_import
252;3;small;import
253;1;small;import
254;2;small;import
255;9;small;no_import
256;4;small;no_import
257;1;small;no_import
258;8;small;no_import
259;45;large;no_import
260;37;large;no_import
261;31;large;no_import
262;7;small;no_import
263;7;small;no_import
264;2;small;no_import
265;7;small;no_import
266;10;small;no_import
267;16;small;no_import
268;4;small;no_import
269;12;small;no_import
270;7;small;no_import
271;3;small;no_import
272;10;small;no_import
273;3;small;no_import
274;4;small;no_import
275;126;large;no_import
276;3;small;import
277;13;small;no_import
278;7;small;no_import
279;39;large;no_import
280;2;small;no_import
281;2;small;no_import
282;20;small;import
283;6;small;no_import
284;3;small;no_import
285;11;small;no_import
286;2;small;no_import
287;77;large;import
288;5;small;no_import
289;18;small;no_import
290;2;small;no_import
291;10;small;no_import
292;3;small;no_import
293;2;small;no_import
294;5;small;no_import
295;7;small;import
296;1;small;no_import
297;14;small;no_import
298;6;small;no_import
299;5;small;no_import
300;3;small;import
301;10;small;no_import
302;1;small;no_import
303;3;small;no_import
304;8;small;no_import
305;6;small;no_import
306;4;small;no_import
307;4;small;no_import
308;1;small;no_import
309;3;small;no_import
310;7;small;no_import
311;34;large;no_import
312;10;small;no_import
313;6;small;import
314;4;small;no_import
315;5;small;no_import
316;50;large;import
317;10;small;no_import
318;1;small;import
319;19;small;import
320;19;small;no_import
321;2;small;no_import
322;3;small;no_import
323;12;small;no_import
324;15;small;import
325;3;small;no_import
326;2;small;no_import
327;51;large;no_import
328;17;small;no_import
329;5;small;no_import
330;9;small;no_import
331;13;small;no_import
332;6;small;no_import
333;9;small;import
334;3;small;no_import
335;64;large;no_import
336;34;large;no_import
337;9;small;no_import
338;51;large;no_import
339;5;small;no_import
340;1;small;no_import
341;6;small;no_import
342;9;small;no_import
343;12;small;no_import
344;4;small;no_import
345;24;small;import
346;20;small;no_import
347;6;small;no_import
348;6;small;no_import
349;27;small;no_import
350;3;small;no_import
351;10;small;no_import
352;43;large;no_import
353;1;small;no_import
354;7;small;no_import
355;82;large;no_import
356;28;small;no_import
357;13;small;no_import
358;3;small;no_import
359;19;small;no_import
360;6;small;no_import
361;37;large;no_import
362;2;small;no_import
363;5;small;no_import
364;10;small;no_import
365;6;small;no_import
366;5;small;import
367;7;small;no_import
368;1;small;no_import
369;2;small;no_import
370;78;large;no_import
371;10;small;no_import
372;4;small;no_import
373;5;small;no_import
374;12;small;no_import
375;6;small;no_import
376;11;small;no_import
377;6;small;no_import
378;3;small;no_import
379;5;small;no_import
380;67;large;no_import
381;26;small;import
382;12;small;no_import
383;5;small;no_import
384;2;small;no_import
385;4;small;no_import
386;3;small;no_import
387;6;small;no_import
388;12;small;no_import
389;3;small;no_import
390;10;small;no_import
391;5;small;no_import
392;9;small;no_import
393;96;large;no_import
394;2;small;no_import
395;3;small;no_import
396;25;small;no_import
397;4;small;no_import
398;48;large;no_import
399;44;large;no_import
400;39;large;no_import
401;36;large;no_import
402;8;small;no_import
403;45;large;no_import
404;6;small;no_import
405;10;small;no_import
406;7;small;no_import
407;18;small;no_import
408;25;small;no_import
409;24;small;no_import
410;2;small;no_import
411;2;small;import
412;13;small;no_import
413;1;small;no_import
414;24;small;no_import
415;2;small;no_import
416;27;small;no_import
417;112;large;import
418;21;small;no_import
419;4;small;no_import
420;4;small;no_import
421;2;small;no_import
422;51;large;no_import
423;11;small;no_import
424;16;small;no_import
425;9;small;no_import
426;3;small;no_import
427;3;small;no_import
428;25;small;no_import
429;6;small;no_import
430;10;small;no_import
431;12;small;import
432;16;small;no_import
433;6;small;import
434;7;small;no_import
435;26;small;no_import
436;22;small;no_import
437;12;small;no_import
438;3;small;no_import
439;3;small;no_import
440;59;large;no_import
441;4;small;no_import
442;8;small;no_import
443;10;small;no_import
444;18;small;no_import
445;5;small;import
446;1;small;no_import
447;13;small;no_import
448;12;small;no_import
449;13;small;no_import
450;50;large;no_import
451;18;small;no_import
452;18;small;no_import
453;24;small;no_import
454;3;small;no_import
455;87;large;no_import
456;36;large;no_import
457;12;small;no_import
458;4;small;no_import
459;50;large;no_import
460;2;small;no_import
461;20;small;import
462;7;small;no_import
463;8;small;no_import
464;7;small;no_import
465;10;small;no_import
466;11;small;no_import
467;13;small;no_import
468;2;small;no_import
469;6;small;no_import
470;6;small;no_import
471;2;small;no_import
472;15;small;no_import
473;23;small;no_import
474;6;small;no_import
475;11;small;no_import
476;5;small;no_import
477;18;small;no_import
478;4;small;no_import
479;15;small;no_import
480;4;small;no_import
481;14;small;no_import
482;2;small;no_import
483;25;small;import
484;2;small;no_import
485;5;small;no_import
486;9;small;no_import
487;78;large;no_import
488;13;small;no_import
489;7;small;no_import
490;18;small;no_import
491;4;small;no_import
492;3;small;no_import
493;14;small;no_import
494;138;large;no_import
495;4;small;no_import
496;31;large;import
497;17;small;no_import
498;6;small;no_import
499;16;small;no_import
500;14;small;no_import
501;4;small;no_import
502;1;small;no_import
503;8;small;no_import
504;40;large;no_import
505;13;small;no_import
506;12;small;no_import
507;7;small;no_import
508;38;large;no_import
509;1;small;no_import
510;3;small;no_import
511;1;small;no_import
512;8;small;no_import
513;13;small;no_import
514;28;small;no_import
515;3;small;no_import
516;3;small;no_import
517;5;small;no_import
518;9;small;no_import
519;5;small;no_import
520;11;small;no_import
521;13;small;no_import
522;34;large;no_import
523;9;small;no_import
524;32;large;no_import
525;22;small;no_import
526;31;large;no_import
527;19;small;no_import
528;24;small;no_import
529;11;small;no_import
530;7;small;no_import
531;14;small;no_import
532;4;small;no_import
533;7;small;no_import
534;14;small;no_import
535;11;small;no_import
536;7;small;no_import
537;8;small;no_import
538;9;small;no_import
539;7;small;no_import
540;18;small;no_import
541;2;small;no_import
542;29;small;no_import
543;11;small;no_import
544;13;small;no_import
545;32;large;no_import
546;4;small;no_import
547;3;small;no_import
548;3;small;no_import
549;27;small;no_import
550;26;small;no_import
551;2;small;no_import
552;5;small;no_import
553;25;small;no_import
554;21;small;no_import
555;2;small;no_import
556;25;small;no_import
557;4;small;no_import
558;3;small;no_import
559;10;small;no_import
560;4;small;no_import
561;35;large;no_import
562;17;small;no_import
563;17;small;no_import
564;4;small;no_import
565;8;small;no_import
566;40;large;no_import
567;3;small;no_import
568;51;large;no_import
569;9;small;import
570;22;small;no_import
571;4;small;no_import
572;1;small;no_import
573;46;large;no_import
574;4;small;no_import
575;5;small;no_import
576;16;small;no_import
577;3;small;no_import
578;2;small;no_import
579;2;small;no_import
580;14;small;no_import
581;24;small;no_import
582;37;large;no_import
583;3;small;no_import
584;3;small;no_import
585;5;small;no_import
586;15;small;no_import
587;21;small;no_import
588;4;small;no_import
589;21;small;no_import
590;35;large;no_import
591;15;small;no_import
592;7;small;import
593;2;small;no_import
594;6;small;no_import
595;4;small;no_import
596;12;small;no_import
597;1;small;no_import
598;10;small;no_import
599;6;small;no_import
600;8;small;no_import
601;4;small;no_import
602;5;small;no_import
603;6;small;no_import
604;3;small;no_import
605;30;small;no_import
606;10;small;no_import
607;15;small;no_import
608;59;large;no_import
609;3;small;no_import
610;5;small;no_import
611;19;small;import
612;1;small;no_import
613;3;small;no_import
614;216;large;no_import
615;20;small;no_import
616;4;small;no_import
617;17;small;no_import
618;6;small;no_import
619;4;small;no_import
620;3;small;no_import
621;22;small;import
622;62;large;no_import
623;27;small;no_import
624;7;small;import
625;3;small;no_import
626;4;small;no_import
627;4;small;no_import
628;9;small;no_import
629;5;small;no_import
630;11;small;no_import
631;4;small;no_import
632;3;small;no_import
633;2;small;no_import
634;23;small;no_import
635;25;small;no_import
636;2;small;no_import
637;15;small;import
638;23;small;no_import
639;13;small;no_import
640;11;small;no_import
641;1;small;no_import
642;6;small;no_import
643;5;small;no_import
644;14;small;no_import
645;8;small;no_import
646;7;small;no_import
647;3;small;no_import
648;2;small;no_import
649;90;large;no_import
650;6;small;no_import
651;10;small;no_import
652;12;small;no_import
653;8;small;no_import
654;37;large;import
655;3;small;no_import
656;20;small;no_import
657;13;small;no_import
658;9;small;no_import
659;15;small;no_import
660;8;small;no_import
661;9;small;import
662;13;small;no_import
663;7;small;no_import
664;3;small;no_import
665;27;small;no_import
666;2;small;no_import
667;3;small;no_import
668;6;small;no_import
669;2;small;no_import
670;14;small;no_import
671;5;small;no_import
672;3;small;no_import
673;4;small;no_import
674;11;small;no_import
675;5;small;no_import
676;3;small;no_import
677;3;small;no_import
678;37;large;no_import
679;1;small;no_import
680;20;small;no_import
681;11;small;import
682;5;small;no_import
683;6;small;no_import
684;7;small;no_import
685;45;large;no_import
686;2;small;no_import
687;1;small;no_import
688;25;small;no_import
689;8;small;no_import
690;12;small;no_import
691;5;small;no_import
692;21;small;no_import
693;18;small;no_import
694;4;small;no_import
695;3;small;no_import
696;30;small;no_import
697;27;small;no_import
698;18;small;no_import
699;8;small;no_import
700;3;small;no_import
701;2;small;import
702;7;small;no_import
703;4;small;no_import
704;3;small;no_import
705;1;small;no_import
706;27;small;no_import
707;3;small;no_import
708;14;small;no_import
709;5;small;no_import
710;37;large;import
711;6;small;no_import
712;38;large;no_import
713;6;small;no_import
714;19;small;import
715;16;small;no_import
716;25;small;no_import
717;1;small;no_import
718;7;small;no_import
719;3;small;no_import
720;4;small;import
721;7;small;no_import
722;10;small;no_import
723;9;small;no_import
724;47;large;no_import
725;1;small;no_import
726;86;large;no_import
727;12;small;no_import
728;3;small;no_import
729;17;small;no_import
730;10;small;no_import
731;8;small;no_import
732;4;small;no_import
733;48;large;no_import
734;23;small;no_import
735;3;small;no_import
736;3;small;import
737;21;small;no_import
738;23;small;no_import
739;5;small;no_import
740;27;small;no_import
741;56;large;no_import
742;2;small;no_import
743;14;small;no_import
744;2;small;no_import
745;3;small;no_import
746;5;small;no_import
747;6;small;no_import
748;2;small;no_import
749;2;small;no_import
750;10;small;no_import
751;12;small;no_import
752;58;large;no_import
753;17;small;no_import
754;2;small;no_import
755;13;small;no_import
756;10;small;no_import
757;98;large;no_import
758;20;small;no_import
759;4;small;no_import
760;4;small;no_import
761;2;small;no_import
762;2;small;import
763;1;small;import
764;2;small;no_import
765;2;small;no_import
766;3;small;no_import
767;27;small;no_import
768;42;large;no_import
769;2;small;no_import
770;37;large;no_import
771;4;small;no_import
772;5;small;no_import
773;5;small;no_import
774;20;small;no_import
775;10;small;no_import
776;11;small;no_import
777;8;small;no_import
778;16;small;no_import
779;2;small;import
780;3;small;no_import
781;18;small;no_import
782;5;small;no_import
783;3;small;no_import
784;2;small;import
785;2;small;no_import
786;2;small;no_import
787;2;small;no_import
788;73;large;no_import
789;2;small;no_import
790;21;small;no_import
791;1;small;no_import
792;5;small;no_import
793;4;small;no_import
794;15;small;no_import
795;4;small;no_import
796;9;small;no_import
797;3;small;no_import
798;11;small;no_import
799;3;small;no_import
800;6;small;no_import
801;1;small;no_import
802;5;small;no_import
803;21;small;no_import
804;5;small;import
805;17;small;no_import
806;3;small;no_import
807;9;small;no_import
808;8;small;no_import
809;6;small;no_import
810;138;large;no_import
811;2;small;import
812;24;small;no_import
813;1;small;no_import
814;14;small;import
815;105;large;no_import
816;8;small;no_import
817;3;small;no_import
818;27;small;no_import
819;81;large;no_import
820;2;small;no_import
821;15;small;no_import
822;1;small;no_import
823;23;small;no_import
824;2;small;no_import
825;3;small;no_import
826;24;small;no_import
827;29;small;no_import
828;7;small;import
829;3;small;no_import
830;18;small;no_import
831;7;small;no_import
832;7;small;no_import
833;13;small;no_import
834;11;small;import
835;22;small;no_import
836;6;small;no_import
837;6;small;no_import
838;6;small;import
839;1;small;no_import
840;5;small;no_import
841;26;small;no_import
842;17;small;no_import
843;2;small;no_import
844;14;small;no_import
845;26;small;no_import
846;15;small;no_import
847;16;small;import
848;7;small;no_import
849;6;small;import
850;27;small;no_import
851;20;small;no_import
852;5;small;import
853;74;large;no_import
854;10;small;no_import
855;3;small;no_import
856;31;large;no_import
857;4;small;import
858;6;small;import
859;3;small;no_import
860;16;small;no_import
861;4;small;no_import
862;33;large;no_import
863;5;small;import
864;2;small;no_import
865;18;small;no_import
866;72;large;no_import
867;24;small;no_import
868;13;small;no_import
869;17;small;no_import
870;21;small;no_import
871;1;small;no_import
872;2;small;no_import
873;6;small;no_import
874;47;large;no_import
875;2;small;no_import
876;9;small;no_import
877;3;small;import
878;5;small;no_import
879;2;small;no_import
880;15;small;no_import
881;4;small;no_import
882;34;large;no_import
883;31;large;no_import
884;53;large;no_import
885;26;small;no_import
886;26;small;no_import
887;19;small;no_import
888;3;small;no_import
889;43;large;no_import
890;2;small;no_import
891;11;small;no_import
892;64;large;import
893;11;small;no_import
894;88;large;no_import
895;5;small;import
896;2;small;no_import
897;21;small;no_import
898;1;small;no_import
899;1;small;no_import
900;3;small;no_import
901;9;small;no_import
902;42;large;no_import
903;21;small;no_import
904;4;small;import
905;4;small;no_import
906;18;small;no_import
907;21;small;no_import
908;2;small;no_import
909;18;small;import
910;8;small;no_import
911;10;small;no_import
912;25;small;no_import
913;14;small;no_import
914;1;small;no_import
915;9;small;no_import
916;13;small;no_import
917;2;small;no_import
918;11;small;no_import
919;4;small;import
920;6;small;no_import
921;3;small;no_import
922;2;small;import
923;7;small;no_import
924;17;small;no_import
925;32;large;no_import
926;5;small;no_import
927;11;small;import
928;30;small;no_import
929;15;small;no_import
930;19;small;no_import
931;3;small;no_import
932;29;small;no_import
933;2;small;no_import
934;13;small;import
935;2;small;no_import
936;33;large;no_import
937;32;large;import
938;2;small;no_import
939;9;small;import
940;18;small;no_import
941;15;small;no_import
942;25;small;import
943;13;small;no_import
944;5;small;no_import
945;6;small;import
946;22;small;no_import
947;14;small;no_import
948;7;small;no_import
949;11;small;no_import
950;2;small;no_import
951;1;small;no_import
952;27;small;no_import
953;16;small;no_import
954;9;small;no_import
955;5;small;no_import
956;1;small;no_import
957;4;small;no_import
958;11;small;no_import
959;2;small;no_import
960;1;small;no_import
961;35;large;no_import
962;21;small;no_import
963;5;small;import
964;24;small;no_import
965;8;small;import
966;14;small;no_import
967;7;small;no_import
968;106;large;no_import
969;46;large;no_import
970;64;large;no_import
971;4;small;no_import
972;10;small;no_import
973;16;small;no_import
974;2;small;import
975;8;small;no_import
976;13;small;no_import
977;11;small;no_import
978;47;large;no_import
979;38;large;no_import
980;20;small;no_import
981;21;small;import
982;5;small;no_import
983;7;small;no_import
984;4;small;no_import
985;3;small;no_import
986;11;small;no_import
987;4;small;no_import
988;14;small;no_import
989;13;small;no_import
990;7;small;no_import
991;39;large;no_import
992;1;small;no_import
993;8;small;no_import
994;22;small;no_import
995;25;small;import
996;27;small;no_import
997;4;small;no_import
998;4;small;no_import
999;8;small;no_import
1000;7;small;no_import
1001;6;small;no_import
1002;11;small;no_import
1003;5;small;no_import
1004;13;small;no_import
1005;4;small;no_import
1006;6;small;no_import
1007;25;small;no_import
1008;19;small;no_import
1009;5;small;no_import
1010;5;small;no_import
1011;10;small;no_import
1012;1;small;no_import
1013;7;small;no_import
1014;4;small;no_import
1015;4;small;no_import
1016;10;small;no_import
1017;9;small;no_import
1018;2;small;no_import
1019;45;large;no_import
1020;4;small;no_import
1021;6;small;no_import
1022;19;small;no_import
1023;20;small;no_import
1024;7;small;no_import
1025;7;small;import
1026;7;small;no_import
1027;21;small;no_import
1028;4;small;no_import
1029;9;small;no_import
1030;5;small;no_import
1031;17;small;no_import
1032;46;large;no_import
1033;19;small;no_import
1034;1;small;import
1035;15;small;no_import
1036;2;small;no_import
1037;2;small;import
1038;5;small;no_import
1039;3;small;no_import
1040;4;small;no_import
1041;2;small;no_import
1042;9;small;no_import
1043;25;small;no_import
1044;38;large;no_import
1045;6;small;no_import
1046;17;small;no_import
1047;15;small;no_import
1048;19;small;import
1049;16;small;no_import
1050;2;small;no_import
1051;11;small;no_import
1052;2;small;no_import
1053;15;small;no_import
1054;69;large;no_import
1055;109;large;no_import
1056;7;small;import
1057;7;small;import
1058;3;small;import
1059;6;small;no_import
1060;7;small;no_import
1061;19;small;no_import
1062;16;small;no_import
1063;3;small;no_import
1064;2;small;no_import
1065;2;small;no_import
1066;14;small;no_import
1067;5;small;no_import
1068;11;small;no_import
1069;6;small;no_import
1070;3;small;no_import
1071;3;small;no_import
1072;8;small;no_import
1073;7;small;no_import
1074;6;small;no_import
1075;12;small;no_import
1076;10;small;no_import
1077;14;small;no_import
1078;2;small;no_import
1079;2;small;no_import
1080;14;small;import
1081;4;small;import
1082;2;small;no_import
1083;30;small;no_import
1084;30;small;no_import
1085;6;small;import
1086;6;small;no_import
1087;12;small;no_import
1088;70;large;no_import
1089;6;small;no_import
1090;5;small;no_import
1091;45;large;no_import
1092;17;small;no_import
1093;11;small;no_import
1094;13;small;no_import
1095;11;small;no_import
1096;9;small;no_import
1097;9;small;no_import
1098;8;small;import
1099;11;small;no_import
1100;17;small;no_import
1101;13;small;no_import
1102;10;small;no_import
1103;5;small;import
1104;17;small;no_import
1105;164;large;import
1106;29;small;no_import
1107;3;small;no_import
1108;3;small;no_import
1109;4;small;no_import
1110;8;small;no_import
1111;4;small;no_import
1112;17;small;no_import
1113;9;small;no_import
1114;16;small;no_import
1115;14;small;no_import
1116;57;large;no_import
1117;11;small;no_import
1118;39;large;no_import
1119;7;small;import
1120;6;small;no_import
1121;12;small;no_import
1122;16;small;no_import
1123;22;small;no_import
1124;17;small;no_import
1125;12;small;no_import
1126;26;small;no_import
1127;3;small;no_import
1128;2;small;no_import
1129;4;small;no_import
1130;16;small;no_import
1131;1;small;no_import
1132;35;large;no_import
1133;27;small;no_import
1134;13;small;no_import
1135;4;small;no_import
1136;10;small;no_import
1137;109;large;no_import
1138;3;small;no_import
1139;6;small;no_import
1140;7;small;import
1141;7;small;no_import
1142;2;small;no_import
1143;6;small;no_import
1144;31;large;no_import
1145;6;small;no_import
1146;3;small;no_import
1147;9;small;no_import
1148;37;large;no_import
1149;2;small;no_import
1150;4;small;no_import
1151;1;small;no_import
1152;5;small;no_import
1153;19;small;no_import
1154;94;large;no_import
1155;8;small;no_import
1156;13;small;no_import
1157;5;small;no_import
1158;4;small;no_import
1159;4;small;no_import
1160;26;small;import
1161;9;small;no_import
1162;4;small;no_import
1163;20;small;no_import
1164;5;small;no_import
1165;14;small;no_import
1166;18;small;no_import
1167;13;small;import
1168;24;small;no_import
1169;3;small;no_import
1170;5;small;no_import
1171;3;small;no_import
1172;4;small;no_import
1173;1;small;no_import
1174;3;small;no_import
1175;3;small;import
1176;3;small;no_import
1177;10;small;no_import
1178;28;small;no_import
1179;29;small;import
1180;10;small;no_import
1181;1;small;no_import
1182;12;small;no_import
1183;2;small;no_import
1184;3;small;no_import
1185;15;small;no_import
1186;34;large;no_import
1187;10;small;no_import
1188;3;small;no_import
1189;29;small;no_import
1190;19;small;no_import
1191;7;small;no_import
1192;31;large;no_import
1193;50;large;import
1194;7;small;no_import
1195;11;small;no_import
1196;7;small;no_import
1197;2;small;no_import
1198;2;small;no_import
1199;31;large;no_import
1200;27;small;no_import
1201;20;small;no_import
1202;15;small;no_import
1203;11;small;no_import
1204;7;small;no_import
1205;11;small;no_import
1206;4;small;no_import
1207;4;small;no_import
1208;2;small;no_import
1209;14;small;no_import
1210;1;small;no_import
1211;12;small;no_import
1212;3;small;no_import
1213;5;small;no_import
1214;27;small;no_import
1215;24;small;no_import
1216;8;small;no_import
1217;16;small;no_import
1218;204;large;no_import
1219;22;small;no_import
1220;13;small;no_import
1221;15;small;no_import
1222;29;small;no_import
1223;40;large;no_import
1224;4;small;no_import
1225;24;small;no_import
1226;10;small;import
1227;2;small;import
1228;54;large;no_import
1229;2;small;no_import
1230;18;small;no_import
1231;9;small;no_import
1232;3;small;no_import
1233;24;small;no_import
1234;5;small;no_import
1235;33;large;import
1236;6;small;no_import
1237;3;small;no_import
1238;17;small;no_import
1239;3;small;no_import
1240;7;small;no_import
1241;7;small;no_import
1242;6;small;no_import
1243;10;small;no_import
1244;12;small;no_import
1245;41;large;no_import
1246;36;large;no_import
1247;2;small;no_import
1248;16;small;no_import
1249;14;small;no_import
1250;31;large;no_import
1251;18;small;no_import
1252;5;small;no_import
1253;129;large;no_import
1254;5;small;no_import
1255;3;small;no_import
1256;9;small;no_import
1257;1;small;no_import
1258;3;small;no_import
1259;5;small;no_import
1260;19;small;no_import
1261;7;small;no_import
1262;13;small;no_import
1263;7;small;no_import
1264;12;small;no_import
1265;17;small;no_import
1266;8;small;no_import
1267;7;small;no_import
1268;1;small;no_import
1269;9;small;no_import
1270;4;small;no_import
1271;17;small;no_import
1272;6;small;no_import
1273;34;large;no_import
1274;11;small;no_import
1275;9;small;no_import
1276;13;small;no_import
1277;26;small;no_import
1278;60;large;no_import
1279;2;small;no_import
1280;1;small;no_import
1281;2;small;import
1282;4;small;no_import
1283;1;small;no_import
1284;4;small;no_import
1285;43;large;no_import
1286;2;small;no_import
1287;2;small;no_import
1288;4;small;no_import
1289;32;large;no_import
1290;4;small;no_import
1291;11;small;no_import
1292;21;small;no_import
1293;14;small;no_import
1294;1;small;no_import
1295;2;small;no_import
1296;3;small;no_import
1297;9;small;no_import
1298;2;small;no_import
1299;14;small;no_import
1300;6;small;no_import
1301;10;small;no_import
1302;98;large;no_import
1303;16;small;no_import
1304;1;small;no_import
1305;2;small;no_import
1306;12;small;no_import
1307;3;small;no_import
1308;11;small;no_import
1309;25;small;no_import
1310;5;small;no_import
1311;3;small;no_import
1312;3;small;no_import
1313;11;small;no_import
1314;3;small;no_import
1315;3;small;no_import
1316;7;small;no_import
1317;21;small;no_import
1318;5;small;import
1319;2;small;no_import
1320;28;small;no_import
1321;7;small;no_import
1322;39;large;no_import
1323;14;small;no_import
1324;28;small;no_import
1325;6;small;no_import
1326;3;small;import
1327;3;small;no_import
1328;7;small;no_import
1329;34;large;no_import
1330;8;small;no_import
1331;1;small;no_import
1332;2;small;no_import
1333;22;small;import
1334;3;small;import
1335;2;small;no_import
1336;3;small;import
1337;9;small;no_import
1338;15;small;no_import
1339;5;small;no_import
1340;12;small;no_import
1341;10;small;no_import
1342;10;small;no_import
1343;2;small;no_import
1344;9;small;no_import
1345;5;small;no_import
1346;6;small;no_import
1347;43;large;import
1348;3;small;no_import
1349;6;small;no_import
1350;6;small;no_import
1351;15;small;no_import
1352;9;small;import
1353;13;small;import
1354;30;small;no_import
1355;6;small;no_import
1356;2;small;no_import
1357;7;small;no_import
1358;7;small;import
1359;16;small;no_import
1360;2;small;no_import
1361;4;small;no_import
1362;7;small;no_import
1363;4;small;no_import
1364;36;large;no_import
1365;8;small;no_import
1366;13;small;no_import
1367;17;small;no_import
1368;11;small;no_import
1369;57;large;no_import
1370;2;small;no_import
1371;3;small;no_import
1372;17;small;no_import
1373;6;small;no_import
1374;11;small;no_import
1375;1;small;no_import
1376;7;small;no_import
1377;10;small;no_import
1378;15;small;no_import
1379;90;large;import
1380;12;small;no_import
1381;8;small;import
1382;24;small;no_import
1383;2;small;no_import
1384;5;small;no_import
1385;12;small;no_import
